decade,gross_usd,num_voted_users
1970,48479251.48648649,57605.05405405405
1980,41473067.239795916,61497.36224489796
1990,36632726.16106442,58239.72268907563
2000,31082911.256118383,63276.221969265796
2010,37147569.363269426,74708.43390514632
