decade,budget_usd,gross_usd
1920.0,2159666.6666666665,1944811.6666666667
1930.0,1337000.0,6916464.25
1940.0,3496666.6666666665,34618987.833333336
1950.0,2721579.125,18383632.625
1960.0,7665677.88,42015872.04
1970.0,10646232.023255814,57637203.46511628
1980.0,15398696.095477387,42990479.386934675
1990.0,29927779.202279203,39392703.863247864
2000.0,29995961.993193068,32919684.779084157
2010.0,32255953.636363637,39491953.925925925
